rating,date,option,content
5,2025.05.18,[옵션] 로지 아우라 향,"추가) 지속력이 너무 안좋아요
헤어미스트보다 지속력짧아요 한두시간 가는거 같아요..

평소 장미향을 제일 좋아하고 그 외에 좋아하는 향들 중에서 베리향도 있는데요
최애향수가 장미+베리 조합이라 좋아하는데 단종...다른 향수를 찾아봐도 은근 장미+베리향 조합이 없더라고요ㅜ

어노브에서 이 향이 처음 헤어미스트로 나왔을때 향을 맡았는데 너무나도 제 스타일이더라고요
향노트 찾아보니 이게 딱 제가 좋아하는 향들이 섞어있던..🫶🏻 바로 구매해서 쓰고 있어요 ㅎㅎ
향수로 나왔으면 좋겠다.. 싶었는데 딱 나왔어요🖤
디자인은 어노브답게 세련되고 차분한 디자인이에요
로지라는 이름에 걸맞게 핑크핑크한 디자인입니다ㅎㅎ
선물용으로 추천해요! 향도 호불호 거의 없는 향이고 패키지도 깔끔하고, 무엇보다 가격대가 좋은거 같아요"
5,2025.05.23,,"향이 너무 너무 좋아요,, 배맛 초콜릿 옅게 나는 느낌이에요 배 향이 이렇게 달콤한지 몰랐어요!! 다른 향도 너무 너무 맡아보고싶어요 ㅠㅠ"
5,2025.05.12,,헤어퍼퓸으로 나왔을때 향수처럼 잘 사용했었는데 퍼퓸으로 나오니까 너무 좋아요 이질감도 없고 향도 너무 좋아서 만족~
5,2025.05.18,,"오래 지속되는 잔향 덕분에 하루 종일 기분 좋은 느낌이 들었고, 특별히 리프레쉬하고 싶은 날 아침에는 단 한 번의 분사로도 분위기가 달라지는 경험을 했어요. 또, 25ml 용량이라 휴대하기 너무 간편해서 파우치에 쓱 넣어 다니기도 딱이더라고요. 중요한 약속이나 모임에 가기 전에 슬쩍 한두 번 뿌리면 뭔가 기분 전환도 되고, 사람들로부터 “무슨 향수 쓰세요?”라는 질문을 몇 번이나 받았는지 몰라요. 작고 세련된 디자인도 눈길을 사로잡았어요. 유리보틀의 삼각 쉐입이 심플하면서 세련된 느낌을 뿜어내는데, 인테리어 오브제로도 손색이 없어요."
5,2025.06.08,[옵션] 로지 아우라 향,"🌹로지 아우라 솔직리뷰🌹

🌹패키지🌹:선물주기 딱 좋은 패키지였어요 예쁘고 색상도 딱 고급스러움 패치되어있음! 미니 로고같이 향 작게 써져있는것도 포인트

🌹크기🌹:크기는 생각보다 작았어요 뚜껑이 오히려 커서 당황함

🌹분사력🌹:처음뿌릴땐 굵고 침뱉는 느낌으로 나와요
다른향수에비해서 분사자체가 굵게나옴! 뿌리고 바로나가면 자국있어요 조심하세여

+지속력 높아요! 엄마가 쓰고계심 헤어미스트 로지보다 얘가 훨씬더나아여"
5,2025.05.02,,"향수를 워낙 좋아해서 새로운 브랜드를 자주 시도하는 편인데, 이번에는 SNS에서 자주 보이던 어노브 오드퍼퓸을 구매해봤어요. 25ml 소용량이라 부담 없이 쓰기 좋을 것 같았고, 퓨어 오차드 향이 특히 후기에서 평이 좋아서 선택했어요."
5,2025.06.06,[옵션] 로지 아우라 향,"향이 무척 좋아요.
싱그럽고 좋은 샴푸로 막 샤워하고 나오는 느낌이에요"
5,2025.05.05,[옵션] 퓨어 오차드 향,향도 좋고 디자인도 예뻐서 들고 다니거나 책상에 올려두기만 해도 감성 뿜뿜이에요 ㅎㅎ
5,2025.06.02,[옵션] 로지 아우라 향,"처음 뿌리면 베리랑 장미 향이 맑게 퍼지면서 기분 좋은 플로럴 향이 올라와요💐
흔히 생각하는 진한 장미 향이 아니라 투명하고 가벼운 느낌이라 촌스럽지 않고 뭔가 설레는 기분이 드는 그런 향이에요

시간 지나면 머스크랑 피치가 어우러지면서 포근한 잔향이 남는데 과하지않고 은은하게 올라와서 계속 맡고 싶어져요

오드퍼퓸이라 지속도 꽤 오래되고 계절 크게 안 타는 사랑스러운 향이라 데일리 향수로 쓰기 딱이에요❣️

뚜껑 닫을때 둥근 네모모양이 맞아야해서 신경써서 닫아야하는점은 살짝 불편해요 구매에 참고하세요!"
5,2025.05.01,,"어노비는 트린트먼트로 잘 쓰고 있어 향수는
궁금했어요
패키지도 이쁘고 기대한만큼 향은
개인적으론 soso 입니다
약간 파우더리향보단 뭐랄까 우디?향인거같아요 ㅜ
다른향도 맡아보고 싶네요"
5,2025.06.05,[옵션] 로지 아우라 향,완전 제 취향의 향이라 외출 할 때 자주 뿌리고있어요~ 여성스럽고 플로랄한 향 좋아하시면 이거 추천해요! 달달보다는 시원한 느낌이에요!
5,2025.06.04,[옵션] 퓨어 오차드 향,향기도 좋고 지속력도 나쁘지 않아요 디자인도 맘에 들어서 집에다 그냥 놓아도 인테리어 같은 느낌 ㅎㅎ
5,2025.06.04,[옵션] 로지 아우라 향,"첫 향은 그윽한 로즈에 살짝의 발랄한 프루티향도 느껴져요
시간이 지나면 머스크+스파이시향도 살짝 있네요 부담스럽지 않고 여성스러운 분위기를 연출해줘서 데일리로 딱 좋아요:)"
5,2025.06.02,[옵션] 퓨어 오차드 향,향기는 너무 너무 청순하고 좋은데 잔향도 너무 깔끔하고 여리여리 아리따워요 근데 지속력이 늠나 아쉽습니다 ㅜㅜ
5,2025.05.25,,"평소에 어노브 제품을 좋아하는 편이에요.
그러다 이렇게 좋은 제품을 사용해볼수 있게 되어서
너무 좋더라구요 ^^
일단 받자마자 디자인이정말 너무너무 이뻤어요 !!
깔끔하고 어노브의 특유 브랜드 느낌 그대로 있어서
좋았어요 ㅎㅎ
그리고 뚜껑 부분이 뻑뻑하지않고, 약간 자석같은
느낌으로 쓱 열리고 쓱 닫을 수 있어서 좋더라구요 ^^
열어서 바로 사용해보았어요.
저는 은은하고 꽃향기 느낌이 나면서 상쾌한 느낌이라서
아주 좋더라구요 ~
분사력도 흐르듯이 두껍게 나오는게 아니라 미세하게
잘 나오는 편이라서 사용할때 불편한 느낌이 1도 없었어요 !!
저는 화장대에 두고 사용하고있어서 하루종일 잔향도
오래 유지가 되는 편이라서 아주 잘 쓰고있습니다 ^^!
제가 제일 좋아하는 향이라서 그런지,, 여름에도 정말 잘 쓸 것 같네요 ㅎㅎ 잘 사용할게요 ~~"
5,2025.05.25,,"처음 뿌렸을 때 부드럽고 따뜻한 잔향이 너무 매력적이에요. 엠버 특유의 포근함이 은은하게 감돌아서, 가까이 있을 때 더 매력적인 향이에요. 계절에 구애받지 않고 사계절 내내 어울릴 것 같고, 시간이 지날수록 더 깊어져서 계속 맡고 싶어져요."
5,2025.05.02,,"처음엔 디자인이 예뻐서 호기심에 구매했는데, 지금은 외출할 때 꼭 뿌리는 향수가 됐어요. 저는 로지아우라를 선택했는데, 은은한 장미향에 살짝 머스크가 섞인 느낌이라 부담 없이 데일리로 쓰기 딱 좋아요.

향이 너무 진하지 않아서 사무실에서도 무난하고, 특히 오후쯤 은근히 다시 올라오는 잔향이 정말 기분 좋게 해줘요. 주변에서도 무슨 향수 쓰냐고 몇 번이나 물어봤어요.

무엇보다도 25ml 사이즈가 가볍고 작아서 파우치에 쏙 들어가니까 여행 갈 때도 챙기기 좋아요. 가격도 부담 없어서 다음엔 퓨어 오차드도 써보려고요."
5,2025.05.25,,"헤어 퍼퓸 웜페탈 향을 잘 사용하고 있어서 체험단에 어노브 향수 올라오자마자 신청일을 기다렸어요! 평소 우디, 머스크 계열의 향을 선호하는 터라 내심 그 계열의 향이 오기를 기대했는데 아쉽게도 로지 아우라가 도착했네요. 베리+플로럴로 전체적으로 러블한 느낌의 향이었는데 또 마냥 달달하기만 한 느낌은 아니어서 크게 불호없이 사용 가능할 것 같아요."
5,2025.05.25,,"🩷헤어 퍼퓸 미스트도 향이 너무 좋아서 잘 사용하고 있었는데 퍼퓹 향이 너무 좋더라구여!!

🩷향
은은하게 올라오는 꽃향이 살짝 달달한데 과하지 않아서 독하게 느껴지지 않고 잔향이 오래가서 맘에 듭니당

🩷지속력
처음 뿌릴 때 저는 정수리, 목, 손목에 뿌리는데 잔향은 오래가고 지속이 좋은 편이라 한번 뿌리면 일하다가 중간에 한번 뿌려주는 정도에요🙈

🩷패키지나 디자인, 향 다 고급스러운 느낌이라 선물용으로 호불호 없이 너무 좋은 것 같습니다✨"
5,2025.05.24,[옵션] 퓨어 오차드 향,원래 무거운 단향을 좋아하는데 더워지는계절에 청량하고 산뜻한 향으로 바꿔주려고 써봤어요 결론적으로는 너무 마음에들어요! 방금 샤워하고 나온듯한 향으로 느껴지기도하고 달달한 향도 살짝 올라오면서 더운 향이 아니라 너무 잘쓸것같아요 패키지도 오브제같이 예뻐서 더 만족해요
5,2025.05.20,[옵션] 퓨어 오차드 향,"이제 점점 더워져서 시트러시 계열 향수 찾다가
매장에서 시향해보고 주문했어요!

탑노트에 서양배랑 베르가못이 있는데 배는 잘 모르겠고
라임이 딱 떠오르는 상콤한 시트러스향이 나요
탑노트인지라 계속 지속되지는 않아서 조금 아숩ㅜㅠ

한 1시간 정도 지나면 화이트플로럴 향이 올라오는데
이게 살짝 무게감이 있기 때문에
“나는 완전 가볍고 통통튀는 여름 향수를 원해!” 하신다면
이 부분에서 조금 망설이실 것 같아요

플로럴이 계속 진행되고 점점 풀향이랄까... 우디향이랄까..
그런게 올라오면서 보통 향수들의 뻔한 머스크 베이스가
아니여서 좋았어요

하지만 시트러스계열 향수들이 다 그렇듯이 지속력은
한 2시간? 정도로 느껴졌어요
초반의 그 라임향은 아주 코를 박고 깊이 들이마시면
느껴지지만 그냥 느끼기엔 플로럴이 더 강하게 느껴집니다

하나 더 아쉬운건 위아래 분홍색 플라스틱 부분이
너무 쓸데없이 뚱뚱하고 크게 느껴져요ㅋㅋ
25ml 짜리인데 그거 때문에 부피가 커서 갖고 다니긴 좀 뭐함"
5,2025.05.16,[옵션] 센슈얼 화이트 향,일단 첫 느낌은 파우더리한 머스크와 화이트 플로럴이 어우러진 깨끗하고 포근한 플로럴 머스크 향이에요. 향이 부드럽고 풍성하게 퍼지는 느낌이고 포근하게 스며들어 오랫동안 살결에 남는 나만의 분위기를 만들어 주는 퍼퓸이에요. 게다가 되게 제품이 고급저보이고 이쁘면서 우아함을 표현해 주는 듯해서 휴대하면서 사용하기 너무 좋을거 같아요. 주변 친구들에게도 많이 추천해주고 싶은 제품이에요. 가볍게 사용하기에도 부담스럽지 않은 향이라 너무 좋네요.
5,2025.05.15,[옵션] 퓨어 오차드 향,"orchard면 과수원인데, 달콤한 향이 나긴 하지만
그렇다고 마냥 플로럴 프루티 느낌은 아니예요.

베르가못과 베티버 향이 들어있어서인지
약간은 성숙함이 감도는 달콤함?

향 설명에서 싱그럽고 순수함을 이야기하지만,
덥고 답답한 향은 아니지만
마냥 싱그럽고 소녀같은 향은 아니예요.

플로럴 프루티라기보다는
머스키함이 더해지만 물향에 달콤함이 더해진 느낌?

처음 뿌렸을 때는
베티버와 머스크향과 함께
물향이 느껴지는 매그놀리아 향이 향긋하게 나요.
향조 설명에 뮤게(은방울꽃)가 들어있지만,
이건 은방울꽃은 아니고 매그놀리아(목련)에 가까워요.
정원에 은방울꽃을 키우고 있어서 실제 향을 알거든요.

그리고나면 살짝쿵 배 향이 달콤하게 깔리면서
매그놀리아 향이랑 어우러져서 포근하고 향긋한 느낌.
배 향도 처음부터 나긴하지만
알콜향이 좀 날아간 다음부터 좀더 느껴지는 것 같아요.

향 자체는 매력있어요.
시어하고 심플한 블라우스가 바람결에 흩날리는 느낌?
향조 설명에서 말하는 싱그럽고 프루티함이
보통 말하는 발랄하고 소녀같은 느낌은 아니고,
좀 성숙하되 우아하면서 노숙하지는 않은
분위기있는 배향이 가미된 플로랄 머스크 느낌이고
잔향에서 프루티가 강하진 않아요.
계절은 사계절 모두 사용할수 있을 것 같아요.

그리고 아쉬운 점은 박스에서 향수를 꺼낸뒤에
박스를 닫으면 아래 박스가 뚜껑 속으로 쑥 들어가버려요.
윗뚜껑과 걸리는 부분이 없어서인가봐요.
뚜껑은 제품 넣고 닫으시길요 ㅎㅎ"
5,2025.05.12,,"체험단으로 앰버 그레이스 향 받았습니다.

✅ 개인적으로 향수는 시트러스 향을 선호하지 않는 편이고
✅ 여름에도 우디,머스크 계열을 선호합니다.

시트러스향은 탑노트에서 잠깐 느껴지고 30분 이내에 사라지는 편이고 미들노트의 향이 깊게 느껴지면서 베이스노트의 잔향이 좋은 편입니다.

역시 어노브 제품답게 지속력은 중~중상 이상으로 가는 편이었어요.

그리고 계절감은 초여름 (6~8월) 말고는 전부 다 사용하기 좋은 향수라 생각합니다. 환절기때 사용하기 제일 좋은 향인것 같구요, 겨울에는 살짝 차가운 감이 없잖아 있는 느낌으로 니트나 목도리에 살쩍 뿌려주면 좋을듯 합니다."
5,2025.05.25,,"✔️패키징이 고급스럽고 예뻐요! 선물용으로도 너무 좋을듯 합니다
✔️무겁지 않아 여름에 어울리는 향이에요! 너무 페미닌하지도 않고 가벼우면서도 향수 뿌린 느낌은 주는 향이라 마음에 들었어요!"
5,2025.05.19,,"우디향 러버라 앰버그레이스를 원했지만
센슈얼화이트제품을 받았어요
지속력이 생각보다약해서 아쉽지만
예쁜용기에 은은한 머스크향이
마음에들어요"
5,2025.05.25,,"체험단이라 랜덤인걸 알지만 장미향을 좋아해서 내심 로지 아우라를 기대했는데 엠버 그레이스로 받게 됐어요.
시트러스 우디향이라 어떤 느낌일까 궁금했는데 생각보다 무겁지 않은 향이라 크게 호불호없이 쓰기 좋은 모던한 느낌이었어요. TOP노트에 비터 오렌지와 베르가못이 있어서인지 첫 향은 샤워코롱같은 가벼우면서 산뜻한 오렌지 향이 나다가 진저와 우디향이 뒤따라와 적당하게 무게감을 잡아주는 느낌이예요. 오드퍼퓸치고는 발향이 센 편은 아니라 은은하게 느껴져서 부담스럽지 않더라구요. 사계절 무난하게 어울릴 향이라고 생각됩니다.
디자인이나 배색처리된 부분은 마음에 드는데 뚜껑 닫을 때 안쪽 사각 테두리 모양에 맞게 맞물려야 하다보니 대충 눌러닫지는 못한 점은 조금 불편했어요."
5,2025.05.25,,"음 일단 제가 받은 제품은 포장 박스도 찌그려져 배송와서 불안했는데 겉은 괜찮아서 안심하고 열렸다가 안에 고정 상자가 찌그려져 있었어요.
근데 막 깨진건 아니여서 패스하고
제가 받은 향은 여름보단 겨울이 떠오르는 향이였고 여름철에는 좀 맞지 않을 것 같다란 느낌을 받았습니다
이상하게 전 계절마다 선호하는 향이 달라져서 겨울에 한번뿌려보고 안맞으면 디퓨저로 활용할 예정입니다"
5,2025.05.25,,"전에 올영체험단으로 어노브 헤어 퍼퓸 미스트 로지아우라 받아서 잘 사용 중이었는데, 이번에 오드퍼퓸이 나왔길래 체험단 신청해 봤어요! 저는 이번에도 #로지아우라 향으로 받아봤습니다💗

로지아우라 향이 너무너무 좋았어서 향수로 꼭 나왔으면 한다고 리뷰에 적었었는데 이렇게 나오다니 너무 좋았어요👍🏻

사실 이미 로지아우라를 갖고있으니 이번에는 오드퍼퓸의 새로운 향들이 궁금했는데, 또 로지아우라로 받아서 약간 아쉽지만😂 좋아하는 향이니까 또 괜찮다 생각 중이에요🥹

다른 향들도 너무 궁금해서 올영 매장가서 3가지 시향해보고 왔는데, 이번에 퓨어오차드 향도 너무 좋더라구요..🍃🤍 그리고 올영에서 케이스를 꺼냈을 때, 어떤 향인지 바닥에 설명이 간략하게 적혀있어서 이 부분도 넘 좋았어요!ㅎㅎ

🌸 로지아우라는 정말 뿌린 그 순간 너무 향기롭고, 기분 좋아지는 향이에요. 약간 체리블라썸이라는 단어가 생각나는 그런 달콤하면서도 깨끗한 향이에요! 사랑스러운 이미지의 여성분들에게 너무 잘 어울릴 것 같은 향이에요.

헤어 퍼퓸일 때는 못 느꼈는데, 오드퍼퓸으로 뿌려보니까 향은 동일한데 뭔가 풍선껌향 같다고 느껴지더라구요! 개인적으로 향수도 좋은데, 특히 헤어에 뿌렸을 때 더욱 잘 어울리고 좋은 향 같다고 느꼈어요🩷 막 씻고 나온듯한 달달하고 플로럴한 느낌의 향+달달한 헤어 트린트먼트같은 향이라 뭔가 제가 그렇게 느낀 것 같아요!

지속력은 헤어 퍼퓸보다는 확실히 좀 더 좋긴 한데, 그래도 약간 아쉽긴 했어요🥺 근데 강하지 않고 은은하게 향기로워서 좋아하시는 분들도 계실 것 같아요.

케이스는 이번에도 역시 존예.. 헤어 퍼퓸보다 딱 세워두기 편해서 더 좋았고, 둘다 아주 예쁩니다🌸"
